,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
148,30,300,250,10,1,75,49.44,46.239999999999995,0.2584894311488939
149,30,500,250,10,1,75,51.07999999999999,47.69,0.26000229844822337
150,30,1000,250,10,1,75,51.07999999999999,47.64000000000001,0.25868323371749485
151,50,300,250,10,1,75,46.64,48.91,0.22627473850635213
152,50,500,250,10,1,75,48.4,49.2,0.23357606441803094
153,50,1000,250,10,1,75,48.92,49.42999999999999,0.23684017378206818
154,10,300,250,10,1,100,53.400000000000006,54.18000000000001,0.26975504338697465
155,10,500,250,10,1,100,55.08,54.1,0.3059734658176233
156,10,1000,250,10,1,100,55.16,53.94,0.3045075267024207
157,30,300,250,10,1,100,53.2,55.410000000000004,0.25619464160774236
158,30,500,250,10,1,100,54.92,56.42,0.2747365935531853
159,30,1000,250,10,1,100,54.72,56.64,0.2830219304379129
160,50,300,250,10,1,100,52.56000000000001,55.48,0.2544726205373461
161,50,500,250,10,1,100,54.72,60.29,0.282910268525459
162,50,1000,250,10,1,100,55.51999999999999,60.91,0.2813507021546712
163,10,300,250,20,1,50,37.96,31.85,0.18717415111856828
164,10,500,250,20,1,50,41.24,34.17,0.18880315097445913
165,10,1000,250,20,1,50,41.64,35.69,0.18442165277552347
166,30,300,250,20,1,50,43.760000000000005,41.550000000000004,0.15686898479367362
167,30,500,250,20,1,50,43.04,41.36,0.1714943167381777
168,30,1000,250,20,1,50,43.84,37.940000000000005,0.17238466413923756
169,50,300,250,20,1,50,39.4,41.65,0.16035943564060073
170,50,500,250,20,1,50,40.96,42.230000000000004,0.15964496852281862
171,50,1000,250,20,1,50,41.839999999999996,43.52,0.16347244205666578
172,10,300,250,20,1,75,43.48,35.62,0.18150779516540558
173,10,500,250,20,1,75,43.8,35.95,0.20284020414278844
174,10,1000,250,20,1,75,45.24,39.59,0.1884440651616004
175,30,300,250,20,1,75,44.800000000000004,42.43,0.16334119330975405
176,30,500,250,20,1,75,46.4,43.25,0.17546535603537577
177,30,1000,250,20,1,75,46.440000000000005,42.83,0.19274196309570046
178,50,300,250,20,1,75,41.72,43.339999999999996,0.15517465302061695
179,50,500,250,20,1,75,45.16,45.879999999999995,0.17230075389288496
180,50,1000,250,20,1,75,44.160000000000004,44.2,0.17407437284578098
181,10,300,250,20,1,100,47.76,42.04,0.18038826896466378
182,10,500,250,20,1,100,48.559999999999995,42.800000000000004,0.18985340122229594
183,10,1000,250,20,1,100,49.400000000000006,43.28,0.18619705175759305
184,30,300,250,20,1,100,49.44,42.79,0.17806501852643117
185,30,500,250,20,1,100,50.96000000000001,46.07,0.17949001239800827
186,30,1000,250,20,1,100,49.32,45.76,0.190397806544502
187,50,300,250,20,1,100,46.88,43.669999999999995,0.1713404479584717
188,50,500,250,20,1,100,48.6,47.099999999999994,0.17211158328901838
189,50,1000,250,20,1,100,50.080000000000005,47.39,0.1753299070926993
190,10,300,250,30,1,50,36.68,34.38,0.1365962957225831
191,10,500,250,30,1,50,37.96,35.209999999999994,0.1428601737813266
192,10,1000,250,30,1,50,37.08,35.78,0.15055847540529663
193,30,300,250,30,1,50,36.56,38.95,0.12504051999699653
194,30,500,250,30,1,50,37.44,40.160000000000004,0.12956799077960587
195,30,1000,250,30,1,50,38.96,39.629999999999995,0.12797349949943518
196,50,300,250,30,1,50,34.760000000000005,39.92,0.12233751840754717
197,50,500,250,30,1,50,34.52,42.400000000000006,0.1267698128556643
198,50,1000,250,30,1,50,34.599999999999994,42.13,0.12962710895566176
199,10,300,250,30,1,75,40.36,38.879999999999995,0.14915863249699918
200,10,500,250,30,1,75,42.96,40.190000000000005,0.1550450918594191
201,10,1000,250,30,1,75,42.67999999999999,39.900000000000006,0.1592435906291483
202,30,300,250,30,1,75,40.400000000000006,41.86,0.13064502856766444
203,30,500,250,30,1,75,42.400000000000006,42.56,0.1416370635739691
204,30,1000,250,30,1,75,43.84,43.57,0.14266849185361466
205,50,300,250,30,1,75,41.4,43.0,0.13812153010775696
206,50,500,250,30,1,75,42.199999999999996,45.72,0.1397831204091105
207,50,1000,250,30,1,75,43.760000000000005,45.519999999999996,0.1371114929451752
208,10,300,250,30,1,100,40.599999999999994,34.78,0.13993263937382086
209,10,500,250,30,1,100,41.48,37.79,0.1494994583438575
210,10,1000,250,30,1,100,43.68,38.82,0.15893309954424298
211,30,300,250,30,1,100,40.279999999999994,38.75,0.13524989681722252
212,30,500,250,30,1,100,43.32,42.230000000000004,0.14522732524228466
213,30,1000,250,30,1,100,44.720000000000006,41.790000000000006,0.14804163867517595
214,50,300,250,30,1,100,40.599999999999994,41.120000000000005,0.1325763247488242
215,50,500,250,30,1,100,41.07999999999999,43.4,0.1288982126140409
216,50,1000,250,30,1,100,42.72,43.68,0.13503427653167518
217,10,300,250,40,1,50,33.92,33.050000000000004,0.1238341190073427
218,10,500,250,40,1,50,35.68,33.550000000000004,0.12562027851405858
219,10,1000,250,40,1,50,35.839999999999996,33.239999999999995,0.13418995611360893
220,30,300,250,40,1,50,33.56,35.39,0.1213017041427679
221,30,500,250,40,1,50,37.4,38.25,0.12168943222128666
222,30,1000,250,40,1,50,37.4,37.15,0.12065622157678486
223,50,300,250,40,1,50,34.4,38.25,0.11260270351939655
224,50,500,250,40,1,50,33.4,40.55,0.12067784301758348
225,50,1000,250,40,1,50,34.160000000000004,40.339999999999996,0.11781418935872452
226,10,300,250,40,1,75,36.480000000000004,34.28,0.12187964585106906
227,10,500,250,40,1,75,39.239999999999995,34.089999999999996,0.12668898894092595
228,10,1000,250,40,1,75,38.72,34.940000000000005,0.12923812029734275
229,30,300,250,40,1,75,37.72,37.519999999999996,0.11346965680020045
230,30,500,250,40,1,75,40.0,38.769999999999996,0.11654260368502156
231,30,1000,250,40,1,75,41.92,41.050000000000004,0.11893996462896496
232,50,300,250,40,1,75,39.2,39.51,0.11049582862416203
233,50,500,250,40,1,75,38.800000000000004,42.12,0.11737427291029238
234,50,1000,250,40,1,75,40.519999999999996,41.2,0.11975553779692898
235,10,300,250,40,1,100,38.239999999999995,33.96,0.13340180270929608
236,10,500,250,40,1,100,41.760000000000005,36.419999999999995,0.12874959650537615
237,10,1000,250,40,1,100,40.800000000000004,35.209999999999994,0.13203906397621534
238,30,300,250,40,1,100,40.199999999999996,39.06,0.11951762353101422
239,30,500,250,40,1,100,41.07999999999999,40.99,0.126123099840357
240,30,1000,250,40,1,100,42.88,39.77,0.12931248941497556
241,50,300,250,40,1,100,36.88,39.59,0.11181390233196196
242,50,500,250,40,1,100,40.48,42.97,0.11803519164428511
243,50,1000,250,40,1,100,42.12,42.86,0.12425756095650048
244,10,300,250,50,1,50,34.96,31.64,0.10459030704447819
245,10,500,250,50,1,50,35.92,30.14,0.10845736973387504
246,10,1000,250,50,1,50,35.199999999999996,32.15,0.11056585552248717
247,30,300,250,50,1,50,34.52,33.34,0.07241676798664787
248,30,500,250,50,1,50,37.04,36.36000000000001,0.1069266692838674
249,30,1000,250,50,1,50,37.36000000000001,35.52,0.10540815200802281
250,50,300,250,50,1,50,34.44,37.41,0.09619231378996843
251,50,500,250,50,1,50,34.8,37.96,0.09901479023816759
252,50,1000,250,50,1,50,36.24,38.239999999999995,0.10016259097891497
253,10,300,250,50,1,75,35.04,32.74,0.10919964589365422
254,10,500,250,50,1,75,37.120000000000005,32.42,0.11463274536170161
