,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
194,30,500,250,30,1,50,84.32000000000001,85.28,0.01779683379816393
195,30,1000,250,30,1,50,83.56,88.59,0.014277196611547863
196,50,300,250,30,1,50,77.48,79.89,0.013161489925353275
197,50,500,250,30,1,50,80.08,84.14999999999999,0.020373990510675944
198,50,1000,250,30,1,50,80.55999999999999,85.50999999999999,0.013860678373067693
199,10,300,250,30,1,75,95.28000000000002,92.36999999999999,0.003950651308109117
200,10,500,250,30,1,75,95.12,93.85999999999999,0.0036814315946071853
201,10,1000,250,30,1,75,95.03999999999999,89.58999999999999,0.0041484356218438895
202,30,300,250,30,1,75,86.83999999999999,77.3,0.005977952947140283
203,30,500,250,30,1,75,83.75999999999999,89.13,0.009310963893100464
204,30,1000,250,30,1,75,83.39999999999999,88.84,0.012823846661126374
205,50,300,250,30,1,75,79.08000000000001,84.39,0.009889804045341125
206,50,500,250,30,1,75,80.19999999999999,84.22,0.019827245450185008
207,50,1000,250,30,1,75,80.24,85.24,0.015156153068023969
208,10,300,250,30,1,100,95.8,95.55999999999999,0.0036684370219470888
209,10,500,250,30,1,100,95.36,98.11999999999999,0.0029721514473023095
210,10,1000,250,30,1,100,95.60000000000001,97.34,0.002623600411311457
211,30,300,250,30,1,100,88.55999999999999,82.07000000000001,0.004932527164612614
212,30,500,250,30,1,100,82.68,88.04,0.010160440112720732
213,30,1000,250,30,1,100,84.52,92.28999999999999,0.007460935490868025
214,50,300,250,30,1,100,80.64,84.42999999999999,0.014199195963885101
215,50,500,250,30,1,100,80.08,84.21,0.017415615098157745
216,50,1000,250,30,1,100,80.64,84.36,0.018993508484336858
217,10,300,250,40,1,50,95.39999999999999,91.89,0.003964327507044585
218,10,500,250,40,1,50,95.36,98.55000000000001,0.002546030553677186
219,10,1000,250,40,1,50,95.67999999999999,98.79,0.0022927043643713747
220,30,300,250,40,1,50,87.64,70.8,0.007048189890297072
221,30,500,250,40,1,50,83.84,86.27,0.016099262046764654
222,30,1000,250,40,1,50,83.28,86.41,0.015709372615090336
223,50,300,250,40,1,50,78.32000000000001,86.53999999999999,0.011021781198037765
224,50,500,250,40,1,50,81.8,85.05,0.015446329419389513
225,50,1000,250,40,1,50,81.76,85.88,0.011973634079229033
226,10,300,250,40,1,75,95.16,79.08000000000001,0.005071282968921417
227,10,500,250,40,1,75,94.80000000000001,79.65,0.005154647244138526
228,10,1000,250,40,1,75,94.52000000000001,81.11,0.00489844433644321
229,30,300,250,40,1,75,86.8,67.77,0.007366663442518693
230,30,500,250,40,1,75,82.88,86.76,0.012882920740347225
231,30,1000,250,40,1,75,84.84,90.99000000000001,0.00900573639659487
232,50,300,250,40,1,75,78.24,86.67999999999999,0.010272474069679807
233,50,500,250,40,1,75,80.52,85.34,0.014831224190892793
234,50,1000,250,40,1,75,80.0,83.67999999999999,0.019070333069008672
235,10,300,250,40,1,100,95.16,95.15,0.003886985389140985
236,10,500,250,40,1,100,95.07999999999998,94.94,0.0034623588447021333
237,10,1000,250,40,1,100,95.07999999999998,94.17,0.0033178613021395418
238,30,300,250,40,1,100,87.79999999999998,77.47,0.006429575064663796
239,30,500,250,40,1,100,83.44,89.82,0.009975029159942505
240,30,1000,250,40,1,100,85.07999999999998,89.48,0.013366113762777174
241,50,300,250,40,1,100,79.24,86.24000000000001,0.010317613260415286
242,50,500,250,40,1,100,81.12,85.55,0.014291673281491021
243,50,1000,250,40,1,100,80.16,83.67000000000002,0.0182119009625127
244,10,300,250,50,1,50,95.52,96.67999999999999,0.0032678373615848987
245,10,500,250,50,1,50,95.55999999999999,98.99,0.0027590827418431454
246,10,1000,250,50,1,50,95.39999999999999,98.21,0.002427895384551833
247,30,300,250,50,1,50,87.4,73.44999999999999,0.006777228425240006
248,30,500,250,50,1,50,83.56,88.55000000000001,0.01077379115443921
249,30,1000,250,50,1,50,84.44,88.1,0.013871997706472076
250,50,300,250,50,1,50,79.75999999999999,85.67,0.01096820184679933
251,50,500,250,50,1,50,80.76,84.97999999999999,0.016429341161648296
252,50,1000,250,50,1,50,81.19999999999999,86.07,0.010863996918634471
253,10,300,250,50,1,75,95.0,77.38000000000001,0.005045260134151021
254,10,500,250,50,1,75,95.36,85.68,0.004614357088274044
255,10,1000,250,50,1,75,93.84,77.32,0.005017924530350276
256,30,300,250,50,1,75,85.68,75.22,0.0064862840912011
257,30,500,250,50,1,75,83.24000000000001,89.01,0.00891563052253698
258,30,1000,250,50,1,75,82.91999999999999,90.71000000000001,0.0076079652659613054
259,50,300,250,50,1,75,77.03999999999999,82.25,0.011577648366972403
260,50,500,250,50,1,75,81.08000000000001,84.69,0.01838969477633779
261,50,1000,250,50,1,75,81.16,85.41000000000001,0.016097943865633183
262,10,300,250,50,1,100,95.39999999999999,92.54,0.004503500518313913
263,10,500,250,50,1,100,95.55999999999999,96.83999999999999,0.003542395694541512
264,10,1000,250,50,1,100,95.67999999999999,95.96000000000001,0.0032648796387412526
265,30,300,250,50,1,100,88.48,80.32999999999998,0.005778289466931319
266,30,500,250,50,1,100,83.2,89.07000000000001,0.00914371720369129
267,30,1000,250,50,1,100,83.2,87.57999999999998,0.013068681052962303
268,50,300,250,50,1,100,78.12,84.27,0.010949254194982739
269,50,500,250,50,1,100,81.4,84.80000000000001,0.01710797130398452
270,50,1000,250,50,1,100,80.84,84.80000000000001,0.01561203592905003
271,10,300,500,10,1,50,94.98,91.785,0.0027646513223526965
272,10,500,500,10,1,50,95.12,97.28,0.002333643566220861
273,10,1000,500,10,1,50,95.07999999999998,96.47500000000001,0.002170981661347558
274,30,300,500,10,1,50,80.06,62.165000000000006,0.004766432211367513
275,30,500,500,10,1,50,91.96,91.945,0.0022523518332898547
276,30,1000,500,10,1,50,92.78,94.73,0.0018985868452794745
277,50,300,500,10,1,50,87.52000000000001,79.69999999999999,0.003956281226998604
278,50,500,500,10,1,50,86.9,88.62,0.012266554962502325
279,50,1000,500,10,1,50,86.48,88.2,0.012420692128442061
280,10,300,500,10,1,75,95.16,91.76500000000001,0.002987028374092133
281,10,500,500,10,1,75,95.07999999999998,95.57499999999999,0.00255187656367482
282,10,1000,500,10,1,75,95.0,95.51,0.0022075828092055117
283,30,300,500,10,1,75,94.02,82.28,0.002835426882444011
284,30,500,500,10,1,75,94.44000000000001,93.705,0.0022146126878554023
285,30,1000,500,10,1,75,92.78,94.38499999999999,0.0017263985516264757
286,50,300,500,10,1,75,91.53999999999999,79.385,0.003618061485990067
287,50,500,500,10,1,75,85.54,86.36500000000001,0.008886707392284764
288,50,1000,500,10,1,75,85.8,89.625,0.008556718270107509
289,10,300,500,10,1,100,94.94,84.175,0.0033440314349202855
290,10,500,500,10,1,100,95.12,96.59,0.002522894531921701
291,10,1000,500,10,1,100,95.1,95.46,0.0023716348977717316
292,30,300,500,10,1,100,79.2,63.6,0.004710053755577807
293,30,500,500,10,1,100,92.52,91.8,0.002449521575191484
294,30,1000,500,10,1,100,92.0,92.82999999999998,0.0019855100993059955
295,50,300,500,10,1,100,91.67999999999999,84.735,0.0031582167630576237
296,50,500,500,10,1,100,88.05999999999999,91.335,0.010824037825761175
297,50,1000,500,10,1,100,87.12,89.97999999999999,0.01103711597201881
298,10,300,500,20,1,50,94.72,83.915,0.003243356713259364
299,10,500,500,20,1,50,94.67999999999999,89.835,0.002821372306818493
300,10,1000,500,20,1,50,94.88,87.335,0.0031558556058213783
301,30,300,500,20,1,50,81.08000000000001,71.02000000000001,0.0038087335239188427
302,30,500,500,20,1,50,92.36000000000001,89.125,0.0025172286080400006
303,30,1000,500,20,1,50,92.89999999999999,94.41499999999999,0.001951424884425384
304,50,300,500,20,1,50,90.84,85.1,0.003673684017566261
305,50,500,500,20,1,50,87.24000000000001,89.48,0.010947641295880054
306,50,1000,500,20,1,50,87.04,89.46,0.01063618195007517
307,10,300,500,20,1,75,95.0,92.585,0.0028558823373126844
308,10,500,500,20,1,75,95.52,98.3,0.0022674435174826874
309,10,1000,500,20,1,75,95.36,98.72500000000001,0.0019423752572411547
310,30,300,500,20,1,75,89.48,68.875,0.0036850609355495363
311,30,500,500,20,1,75,93.72,92.47500000000001,0.002439918053770988
312,30,1000,500,20,1,75,92.5,93.585,0.001965226298409184
313,50,300,500,20,1,75,90.53999999999999,84.89999999999999,0.0036969846302385527
314,50,500,500,20,1,75,86.88,90.0,0.010653154401396928
315,50,1000,500,20,1,75,87.16,90.27,0.010675734690228684
316,10,300,500,20,1,100,95.03999999999999,85.58999999999999,0.003148374801061798
317,10,500,500,20,1,100,94.86000000000001,91.28500000000001,0.0027689351791018004
318,10,1000,500,20,1,100,95.32000000000001,95.3,0.0024460512601196366
319,30,300,500,20,1,100,94.16,83.545,0.0027054113242875595
320,30,500,500,20,1,100,94.36,94.17500000000001,0.0021161737373223705
321,30,1000,500,20,1,100,92.47999999999999,96.05499999999999,0.0014333503959916049
322,50,300,500,20,1,100,92.72,85.535,0.003377059219830944
323,50,500,500,20,1,100,87.04,91.14999999999999,0.010854390337730795
324,50,1000,500,20,1,100,86.62,89.8,0.011378785065274505
325,10,300,500,30,1,50,95.19999999999999,93.13499999999999,0.0029693596959935735
326,10,500,500,30,1,50,94.61999999999999,95.91499999999999,0.0027934565267539297
327,10,1000,500,30,1,50,94.60000000000001,91.95,0.002524531899185256
328,30,300,500,30,1,50,92.2,70.74000000000001,0.0032951508875596128
329,30,500,500,30,1,50,93.5,92.94,0.0023312388879108115
330,30,1000,500,30,1,50,92.4,94.13,0.0018797748990124973
331,50,300,500,30,1,50,90.9,85.21000000000001,0.0033246468824541294
332,50,500,500,30,1,50,87.20000000000002,90.155,0.009502325507313537
333,50,1000,500,30,1,50,87.3,89.985,0.009929380033980804
334,10,300,500,30,1,75,94.98,88.49500000000002,0.0030744446431948402
335,10,500,500,30,1,75,94.98,94.24,0.0027248926437381995
336,10,1000,500,30,1,75,94.96,95.87,0.002098800894961368
337,30,300,500,30,1,75,90.74,70.55,0.0035545139890105033
338,30,500,500,30,1,75,93.91999999999999,92.965,0.0024340487152272163
339,30,1000,500,30,1,75,92.82000000000001,93.11999999999999,0.0020032563132933935
340,50,300,500,30,1,75,91.38,85.21000000000001,0.0035238275814918254
341,50,500,500,30,1,75,87.36,90.06,0.010373780964065863
342,50,1000,500,30,1,75,86.74,90.12,0.010581018797478184
343,10,300,500,30,1,100,94.96,91.975,0.0028503878179682515
344,10,500,500,30,1,100,95.18,97.52000000000001,0.002026092824945573
345,10,1000,500,30,1,100,95.16,97.83500000000001,0.0017826632297290991
346,30,300,500,30,1,100,84.12,65.72,0.004340470774898698
347,30,500,500,30,1,100,92.06,79.805,0.0029881197153464292
348,30,1000,500,30,1,100,92.68,93.245,0.0019510184731570217
349,50,300,500,30,1,100,91.56,84.58500000000001,0.003634631758041275
350,50,500,500,30,1,100,86.8,85.73,0.008805552039497119
351,50,1000,500,30,1,100,86.46000000000001,89.11,0.008893633622746337
352,10,300,500,40,1,50,95.24,92.325,0.002850569752988758
353,10,500,500,40,1,50,95.18,96.48999999999998,0.00250492481343891
354,10,1000,500,40,1,50,94.92,95.685,0.0023749064448664622
355,30,300,500,40,1,50,92.72,78.23,0.002861940177826468
356,30,500,500,40,1,50,94.38000000000001,93.705,0.0021854077806586357
357,30,1000,500,40,1,50,92.62,95.035,0.0016618867467070248
358,50,300,500,40,1,50,89.84,84.69,0.0036548867837076547
359,50,500,500,40,1,50,87.22,90.76,0.009612110976632867
360,50,1000,500,40,1,50,87.04,89.76,0.009803431318856345
361,10,300,500,40,1,75,95.61999999999999,82.99499999999999,0.0032311412926999484
362,10,500,500,40,1,75,95.22,92.61500000000001,0.002678854047075042
363,10,1000,500,40,1,75,95.19999999999999,92.8,0.0024145304779015484
364,30,300,500,40,1,75,94.96,93.91000000000001,0.002352347214205863
365,30,500,500,40,1,75,94.56,94.04999999999998,0.002136268806371455
366,30,1000,500,40,1,75,92.86,95.87,0.0015218018701478235
367,50,300,500,40,1,75,89.74,82.05,0.0035819546341011236
368,50,500,500,40,1,75,86.8,89.275,0.010038835596159333
369,50,1000,500,40,1,75,86.62,89.49999999999999,0.010193144057550568
370,10,300,500,40,1,100,95.44,90.97,0.0027236310763057965
371,10,500,500,40,1,100,95.18,95.34,0.002347576922642466
372,10,1000,500,40,1,100,95.39999999999999,97.03,0.0020113862017116235
373,30,300,500,40,1,100,93.05999999999999,75.765,0.0029905256903054183
374,30,500,500,40,1,100,94.04,93.475,0.002134706780605979
375,30,1000,500,40,1,100,92.08000000000001,94.25000000000001,0.001745553935615431
376,50,300,500,40,1,100,89.42,76.21,0.004148498644748314
377,50,500,500,40,1,100,86.9,88.835,0.008354863726217738
378,50,1000,500,40,1,100,86.03999999999999,87.94999999999999,0.010658597501205666
379,10,300,500,50,1,50,95.1,70.785,0.003908333863029626
380,10,500,500,50,1,50,95.32000000000001,88.375,0.0030041263120413417
381,10,1000,500,50,1,50,95.06,83.13000000000001,0.003159079920512572
382,30,300,500,50,1,50,94.67999999999999,94.17999999999999,0.0026003453585235962
383,30,500,500,50,1,50,94.58,94.3,0.002057657324860468
384,30,1000,500,50,1,50,92.6,95.61,0.0015438442952812486
385,50,300,500,50,1,50,91.98,84.89999999999999,0.003521924915380468
386,50,500,500,50,1,50,87.05999999999999,89.23500000000001,0.009194040751226129
387,50,1000,500,50,1,50,87.02,89.33,0.008753627823540123
388,10,300,500,50,1,75,95.36,92.89,0.0027320489025704033
389,10,500,500,50,1,75,95.46,97.195,0.0023202816118474637
390,10,1000,500,50,1,75,95.39999999999999,96.54,0.0021595295535769415
391,30,300,500,50,1,75,95.1,94.895,0.002634792586847611
392,30,500,500,50,1,75,94.28,94.27499999999999,0.002096732931254605
393,30,1000,500,50,1,75,93.17999999999999,96.37,0.0013711282736974416
394,50,300,500,50,1,75,88.34,80.96,0.003783398247719885
395,50,500,500,50,1,75,86.28,88.72500000000001,0.00978699484651713
396,50,1000,500,50,1,75,86.34,89.07000000000001,0.00958434740312546
397,10,300,500,50,1,100,94.98,69.34,0.004010154561654323
398,10,500,500,50,1,100,95.36,85.70499999999998,0.0030455656395779723
399,10,1000,500,50,1,100,94.94,82.125,0.0027666739481858045
