,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
170,50,500,750,40,91.18666666666667,91.46333333333332,0.0017233143929399944
171,50,1000,750,40,90.36,95.22999999999999,0.0013199184993378222
172,10,300,750,50,95.44,66.77,0.0032517916954634993
173,10,500,750,50,94.64,67.56666666666666,0.0031922454030674243
174,10,1000,750,50,93.76,68.52333333333334,0.0030082222210404273
175,30,300,750,50,95.14666666666668,83.70666666666666,0.002184976276017904
176,30,500,750,50,94.62666666666667,92.64333333333333,0.0021038740574091416
177,30,1000,750,50,94.45333333333335,93.35333333333334,0.0018434744885207491
178,50,300,750,50,87.62666666666667,77.65666666666667,0.0027526686796499455
179,50,500,750,50,90.99999999999999,91.69,0.001701341723694122
180,50,1000,750,50,90.89333333333333,95.38333333333334,0.0013304589165817123
181,10,300,1000,10,95.26999999999998,62.7425,0.0028054521115407367
182,10,500,1000,10,94.80000000000001,69.48,0.0024438796513145864
183,10,1000,1000,10,95.16,86.15,0.0019077205479480443
184,30,300,1000,10,95.13999999999999,98.02,0.0017183009820996677
185,30,500,1000,10,95.39,96.71,0.0016792328966956005
186,30,1000,1000,10,95.18,94.88749999999999,0.0016637557020503027
187,50,300,1000,10,95.24,97.245,0.0012112352998614288
188,50,500,1000,10,94.44000000000001,98.41250000000001,0.0009434046449895226
189,50,1000,1000,10,94.78999999999999,97.86749999999999,0.0008838427667562064
190,10,300,1000,20,95.13999999999999,67.1275,0.002565495591735857
191,10,500,1000,20,95.16,80.61749999999999,0.0020510533468449063
192,10,1000,1000,20,95.15,83.145,0.001952822984345962
193,30,300,1000,20,95.3,95.30499999999999,0.0018047453971080714
194,30,500,1000,20,95.33,96.0,0.001496941756441528
195,30,1000,1000,20,95.15,94.81249999999999,0.0013161233324441802
196,50,300,1000,20,95.05000000000001,95.7,0.0014404624654277937
197,50,500,1000,20,93.72,95.89999999999999,0.0012847249255178955
198,50,1000,1000,20,93.61,96.3175,0.0010409719901025897
199,10,300,1000,30,95.28999999999999,70.855,0.0022907719462129028
200,10,500,1000,30,95.03,84.5125,0.001960869062063072
201,10,1000,1000,30,94.35,72.37750000000001,0.0023178986770903717
202,30,300,1000,30,95.55999999999999,92.43249999999999,0.001897934515412726
203,30,500,1000,30,95.25,93.64750000000001,0.001884345202882475
204,30,1000,1000,30,94.63,93.92250000000001,0.0015369986013205141
205,50,300,1000,30,95.13999999999999,95.3725,0.0014573708686664874
206,50,500,1000,30,93.85999999999999,96.53750000000001,0.0012344394579954917
207,50,1000,1000,30,93.5,96.17999999999999,0.0010829030769051009
208,10,300,1000,40,95.41999999999999,70.0,0.002372434942370394
209,10,500,1000,40,95.06,66.2825,0.002471404865233815
210,10,1000,1000,40,94.55,69.575,0.002248133461021622
211,30,300,1000,40,95.57,96.7825,0.0018980902306798295
212,30,500,1000,40,95.31,95.57249999999999,0.001640466438704867
213,30,1000,1000,40,94.61999999999999,93.7525,0.0017141230056070965
214,50,300,1000,40,94.75,86.79,0.0015052834085911586
215,50,500,1000,40,93.2,93.78999999999999,0.0014344391369172065
216,50,1000,1000,40,93.63,95.72749999999999,0.0011872628659242161
217,10,300,1000,50,95.38,65.17999999999999,0.002473490894654697
218,10,500,1000,50,95.07,71.59500000000001,0.002248612523850765
219,10,1000,1000,50,94.85,80.435,0.002090242406770274
220,30,300,1000,50,95.48,96.7375,0.0018811766731958205
221,30,500,1000,50,95.58,95.3125,0.0017261441486303639
222,30,1000,1000,50,94.80000000000001,93.89,0.001609281640004326
223,50,300,1000,50,95.07,90.63000000000001,0.0015961307970832987
224,50,500,1000,50,93.42,94.27499999999999,0.0014039251863315536
225,50,1000,1000,50,93.58999999999999,95.9975,0.0011251353949609313
226,10,300,2500,10,95.28800000000001,66.72399999999999,0.0013543648079192604
227,10,500,2500,10,95.448,74.229,0.0012422176230033994
228,10,1000,2500,10,95.3,82.354,0.0011051921856592849
229,30,300,2500,10,95.204,97.30000000000001,0.000978795380530839
230,30,500,2500,10,95.456,97.477,0.0008402065598851628
231,30,1000,2500,10,95.41999999999999,96.644,0.000795142193416433
232,50,300,2500,10,95.208,97.00200000000001,0.0009092912934906354
233,50,500,2500,10,95.144,96.867,0.0009027813727663099
234,50,1000,2500,10,94.808,96.46699999999998,0.0009095495707711545
235,10,300,2500,20,95.00800000000001,66.998,0.001326489848027165
236,10,500,2500,20,95.192,85.39999999999999,0.0013595586193860388
237,10,1000,2500,20,95.364,80.243,0.0011314933778174645
238,30,300,2500,20,95.31599999999999,96.783,0.0010396657154294086
239,30,500,2500,20,95.65599999999999,97.50099999999999,0.0009402032252768007
240,30,1000,2500,20,95.364,96.945,0.0007300292192421264
241,50,300,2500,20,95.096,97.09199999999998,0.0008784687169490202
242,50,500,2500,20,95.22,97.496,0.0008279445650660697
243,50,1000,2500,20,95.17200000000001,96.66799999999999,0.0008881449343441933
244,10,300,2500,30,95.408,65.976,0.001338688153217342
245,10,500,2500,30,95.13999999999999,74.652,0.00127575809285074
246,10,1000,2500,30,95.07199999999999,81.34499999999998,0.0013774296752661406
247,30,300,2500,30,95.536,95.023,0.0009951111994012784
248,30,500,2500,30,95.64,96.174,0.0009126934869285869
249,30,1000,2500,30,95.53200000000001,96.48,0.0007532797409316911
250,50,300,2500,30,95.276,96.997,0.0009679441477297758
251,50,500,2500,30,95.304,97.073,0.0009507916651911966
252,50,1000,2500,30,95.15599999999999,96.592,0.0009029780633645201
253,10,300,2500,40,95.02000000000001,65.79599999999999,0.001334646124957858
254,10,500,2500,40,95.192,79.192,0.0011279357110074995
255,10,1000,2500,40,95.136,84.968,0.001032053442358372
256,30,300,2500,40,95.10799999999999,96.821,0.000988917209826685
257,30,500,2500,40,95.676,97.345,0.0009308179314672135
258,30,1000,2500,40,95.44,95.743,0.001051300233113054
259,50,300,2500,40,95.216,97.072,0.0009502320794522552
260,50,500,2500,40,95.296,96.61699999999999,0.0009442414180750058
261,50,1000,2500,40,94.72,96.44999999999999,0.0008633111336954535
262,10,300,2500,50,94.476,63.408,0.0014527433795358399
263,10,500,2500,50,95.256,73.27600000000001,0.0014466511477469776
264,10,1000,2500,50,95.10799999999999,94.21099999999998,0.001375582792251343
265,30,300,2500,50,95.328,96.562,0.001019246585839613
266,30,500,2500,50,95.876,97.36,0.0009737690235837547
267,30,1000,2500,50,95.764,96.738,0.0008283845354499878
268,50,300,2500,50,95.432,97.042,0.0009697951875788004
269,50,500,2500,50,95.196,96.66499999999999,0.0009384999195750111
270,50,1000,2500,50,94.71199999999999,96.02199999999999,0.0009285351583679481
271,10,300,5000,10,94.614,75.995,0.0007942421809869478
272,10,500,5000,10,95.24,85.85800000000002,0.000795663002595986
273,10,1000,5000,10,95.052,94.386,0.0009099667322917037
274,30,300,5000,10,95.304,97.57450000000001,0.0006167763811491286
275,30,500,5000,10,95.37800000000001,98.2375,0.0005356560609270587
276,30,1000,5000,10,95.526,97.1735,0.0004958671638803964
277,50,300,5000,10,95.16600000000001,97.49399999999999,0.0005659074801151949
278,50,500,5000,10,95.15,97.73049999999999,0.0005073270650103474
279,50,1000,5000,10,95.224,97.4875,0.00044435778361034603
280,10,300,5000,20,92.802,67.9765,0.000856796235010363
281,10,500,5000,20,95.362,85.3215,0.0007930192893404755
282,10,1000,5000,20,95.062,96.31700000000001,0.0009746987774186891
283,30,300,5000,20,95.42999999999999,97.14600000000002,0.0006166316373993505
284,30,500,5000,20,95.65599999999999,97.762,0.0005993840548843955
285,30,1000,5000,20,95.794,97.63199999999999,0.0004388621475988589
286,50,300,5000,20,95.094,97.83149999999999,0.0005933673709794819
287,50,500,5000,20,95.314,97.8415,0.0005577425847140255
288,50,1000,5000,20,95.302,96.54400000000001,0.0006272473342736217
289,10,300,5000,30,94.42600000000002,70.171,0.0008203681898496494
290,10,500,5000,30,95.45,82.5975,0.0007815535094242952
291,10,1000,5000,30,95.118,95.86099999999999,0.0008554227344086638
292,30,300,5000,30,95.37,93.13650000000001,0.0006548884600300286
293,30,500,5000,30,95.69000000000001,97.661,0.0005375926381287077
294,30,1000,5000,30,95.77600000000001,97.226,0.0004992619105702632
295,50,300,5000,30,95.25,97.9595,0.000548816314943694
296,50,500,5000,30,95.31599999999999,97.87100000000001,0.0005042599263386554
297,50,1000,5000,30,95.16600000000001,97.0435,0.0005138560524761037
298,10,300,5000,40,94.49600000000001,70.398,0.0008267851309112835
299,10,500,5000,40,95.47399999999999,86.6905,0.0007110212434490679
300,10,1000,5000,40,95.222,95.916,0.000731358086261728
301,30,300,5000,40,95.556,95.35249999999999,0.0006689840896740729
302,30,500,5000,40,95.78599999999999,98.02799999999999,0.0005281392757961544
303,30,1000,5000,40,95.748,97.03099999999999,0.000556199017346938
304,50,300,5000,40,95.19399999999999,97.761,0.0005574623054448805
305,50,500,5000,40,95.338,98.0305,0.0004876782368166542
306,50,1000,5000,40,95.39199999999998,97.66199999999999,0.00041905019487778895
307,10,300,5000,50,94.012,67.468,0.0008446521846091379
308,10,500,5000,50,95.274,85.21050000000001,0.0008051933128969535
309,10,1000,5000,50,94.88799999999999,94.917,0.0009242788891106506
310,30,300,5000,50,95.65400000000001,93.39999999999999,0.0006606198944618441
311,30,500,5000,50,95.86399999999999,97.63999999999999,0.0005811019581021969
312,30,1000,5000,50,96.004,97.19300000000001,0.0005451817924111519
313,50,300,5000,50,95.314,97.3215,0.0006144843222807622
314,50,500,5000,50,95.424,98.17750000000001,0.0004663091093742716
315,50,1000,5000,50,95.45400000000001,97.04549999999999,0.0004925306114682633
316,10,300,100,10,95.0,95.875,0.004698714767219273
317,10,500,100,10,95.8,98.14999999999999,0.0032323108268504986
318,10,1000,100,10,96.1,96.175,0.004002795994065264
