,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
123,30,1000,500,40,34.96,21.905,0.07651775755173897
124,50,300,500,40,27.0,22.854999999999997,0.07285772457752761
125,50,500,500,40,33.22,25.22,0.07435434455035868
126,50,1000,500,40,34.12,25.264999999999997,0.07413506827148042
127,10,300,500,50,31.22,18.605,0.06364413851525516
128,10,500,500,50,33.379999999999995,19.724999999999998,0.06662652672920466
129,10,1000,500,50,33.36,19.67,0.06621784317283644
130,30,300,500,50,30.419999999999998,22.005,0.06358847238091837
131,30,500,500,50,33.86,21.755,0.06540791667354572
132,30,1000,500,50,33.96,22.185000000000002,0.0665140257193608
133,50,300,500,50,26.44,23.185,0.06350138881874533
134,50,500,500,50,30.599999999999998,24.380000000000003,0.06451856703134844
135,50,1000,500,50,30.54,24.965,0.06370433884781469
136,10,300,750,10,45.76,31.576666666666664,0.16685206936967792
137,10,500,750,10,46.2,31.96,0.170699131286116
138,10,1000,750,10,46.266666666666666,32.04,0.1746463589937423
139,30,300,750,10,46.626666666666665,33.93333333333334,0.16669166603532548
140,30,500,750,10,46.826666666666675,34.80333333333333,0.16567291091099978
141,30,1000,750,10,47.28,34.943333333333335,0.16545588411909865
142,50,300,750,10,46.54666666666667,36.309999999999995,0.16410226032478387
143,50,500,750,10,46.78666666666666,36.60333333333333,0.1617707225863608
144,50,1000,750,10,46.88,36.763333333333335,0.16364366714096715
145,10,300,750,20,33.666666666666664,19.296666666666667,0.10549857131026495
146,10,500,750,20,37.24,21.743333333333332,0.10886979630762578
147,10,1000,750,20,36.96,21.53333333333333,0.11006605279148615
148,30,300,750,20,14.573333333333332,14.546666666666669,0.0643507124617758
149,30,500,750,20,38.77333333333334,25.10333333333333,0.10665855374567217
150,30,1000,750,20,38.70666666666666,24.67,0.1094127956828503
151,50,300,750,20,24.30666666666667,21.776666666666667,0.10790568564068521
152,50,500,750,20,37.346666666666664,25.753333333333334,0.1055518589401507
153,50,1000,750,20,38.266666666666666,26.67666666666667,0.10885610504473103
154,10,300,750,30,31.320000000000004,18.029999999999998,0.08584648656609231
155,10,500,750,30,34.45333333333333,19.48,0.08739119288075384
156,10,1000,750,30,34.06666666666667,18.626666666666665,0.08771367038345333
157,30,300,750,30,28.199999999999996,19.99666666666667,0.08284829502554596
158,30,500,750,30,34.42666666666667,21.97,0.08563929540813281
159,30,1000,750,30,35.08,21.866666666666664,0.0842999258159791
160,50,300,750,30,24.12,20.0,0.082127505699459
161,50,500,750,30,33.973333333333336,23.30666666666667,0.08446186275002039
162,50,1000,750,30,35.120000000000005,23.359999999999996,0.08388327972706099
163,10,300,750,40,31.480000000000004,17.11,0.07430549923895902
164,10,500,750,40,32.06666666666666,18.073333333333334,0.0743873674678802
165,10,1000,750,40,32.733333333333334,17.906666666666666,0.07292797397742527
166,30,300,750,40,28.453333333333337,19.433333333333334,0.06798411086609943
167,30,500,750,40,33.413333333333334,19.653333333333332,0.07253085317589437
168,30,1000,750,40,33.333333333333336,19.923333333333332,0.07235976551550492
169,50,300,750,40,22.599999999999998,18.393333333333334,0.06947719832555373
170,50,500,750,40,32.120000000000005,21.9,0.07086861430109781
171,50,1000,750,40,32.693333333333335,21.583333333333332,0.07165870473213944
172,10,300,750,50,29.666666666666668,16.196666666666665,0.06421671368119261
173,10,500,750,50,31.733333333333334,16.72,0.06510910178770489
174,10,1000,750,50,31.880000000000003,16.509999999999998,0.06641055909809401
175,30,300,750,50,25.093333333333334,17.81,0.06252668107161796
176,30,500,750,50,32.57333333333333,19.256666666666668,0.06490726469033288
177,30,1000,750,50,32.946666666666665,19.08666666666667,0.0641681227927393
178,50,300,750,50,21.400000000000002,17.253333333333334,0.061526826043847814
179,50,500,750,50,29.61333333333333,20.813333333333333,0.06342162357675442
180,50,1000,750,50,30.62666666666667,20.54333333333333,0.06210046813385845
181,10,300,1000,10,45.81000000000001,30.4975,0.16088640287606576
182,10,500,1000,10,45.9,30.599999999999998,0.1584853827694997
183,10,1000,1000,10,46.03,30.772499999999997,0.16106080128514486
184,30,300,1000,10,47.07,32.065,0.15704657057878196
185,30,500,1000,10,47.21,32.025000000000006,0.15842234108174677
186,30,1000,1000,10,47.39,32.1,0.1593253713808626
187,50,300,1000,10,46.28,34.045,0.15762581672027176
188,50,500,1000,10,46.46,34.1225,0.1593475594571313
189,50,1000,1000,10,46.51,34.0475,0.15978335538140748
190,10,300,1000,20,36.730000000000004,20.919999999999998,0.10967835656303464
191,10,500,1000,20,36.96,21.16,0.11125149103141578
192,10,1000,1000,20,36.79,20.9675,0.11005206088780234
193,30,300,1000,20,38.44,24.0325,0.10340950966870514
194,30,500,1000,20,37.6,24.025,0.10516353593002349
195,30,1000,1000,20,37.8,23.1675,0.1083678067885392
196,50,300,1000,20,37.68,25.03,0.10527797582900282
197,50,500,1000,20,37.86,25.2975,0.10606484498467991
198,50,1000,1000,20,37.74,24.84,0.10796118705785333
199,10,300,1000,30,22.09,14.255,0.07932811333402764
200,10,500,1000,30,32.68,17.1325,0.08506985431079941
201,10,1000,1000,30,32.93000000000001,17.41,0.08729566750795537
202,30,300,1000,30,23.18,16.8875,0.0808216809743866
203,30,500,1000,30,33.839999999999996,19.995,0.08483757581820385
204,30,1000,1000,30,33.97,19.875,0.08394194390426014
205,50,300,1000,30,19.48,15.805,0.07645034994995284
206,50,500,1000,30,33.57,21.237499999999997,0.08281593014108639
207,50,1000,1000,30,33.86,21.385,0.08319029544648952
208,10,300,1000,40,28.43,14.545,0.07307547004203473
209,10,500,1000,40,32.120000000000005,15.665000000000001,0.07477574783326618
210,10,1000,1000,40,32.61,15.987499999999999,0.075431645268935
211,30,300,1000,40,19.24,13.945000000000002,0.06888140516194018
212,30,500,1000,40,32.71,18.3075,0.07137059598106377
213,30,1000,1000,40,33.53,18.2925,0.07324549781529571
214,50,300,1000,40,29.78,19.23,0.06914477078662569
215,50,500,1000,40,31.89,19.295,0.07002883821309501
216,50,1000,1000,40,33.11,19.4875,0.07114456466810987
217,10,300,1000,50,27.83,14.37,0.06460871045999163
218,10,500,1000,50,30.84,15.015,0.06575152622763898
219,10,1000,1000,50,30.53,15.1175,0.06600976601073015
220,30,300,1000,50,23.43,15.340000000000002,0.06392005806612895
221,30,500,1000,50,31.53,17.39,0.06400573847774652
222,30,1000,1000,50,31.989999999999995,17.357499999999998,0.06445781107656837
223,50,300,1000,50,19.02,13.947499999999998,0.061500935060679336
224,50,500,1000,50,28.860000000000003,18.565,0.06346970658403284
225,50,1000,1000,50,31.259999999999998,18.332500000000003,0.0637345590186792
226,10,300,2500,10,45.568,27.174,0.15779543797720733
227,10,500,2500,10,45.516,27.376999999999995,0.15988020368717237
228,10,1000,2500,10,45.712,27.812000000000005,0.1610995938331241
229,30,300,2500,10,46.744,30.209999999999997,0.1567990196784711
230,30,500,2500,10,46.78,30.276999999999997,0.1579228827419303
231,30,1000,2500,10,46.78,30.301999999999996,0.15772041458305938
232,50,300,2500,10,45.956,31.747999999999998,0.1541193226908243
233,50,500,2500,10,46.372,31.820999999999998,0.1597056677664376
234,50,1000,2500,10,46.568,31.887999999999998,0.15963653768211164
235,10,300,2500,20,35.172,16.909000000000002,0.10339965846249444
236,10,500,2500,20,34.904,16.777,0.10595311132873958
237,10,1000,2500,20,35.044,16.775000000000002,0.10482370449558634
238,30,300,2500,20,35.844,19.692999999999998,0.10224434569480315
239,30,500,2500,20,35.796,19.426000000000002,0.10179148049088821
240,30,1000,2500,20,35.616,18.901,0.10110031689518893
241,50,300,2500,20,34.136,20.125999999999998,0.10199282358653454
242,50,500,2500,20,35.424,20.269,0.1020573792300421
243,50,1000,2500,20,35.78,20.471,0.10172294389504435
244,10,300,2500,30,31.5,13.503000000000002,0.083494467602045
245,10,500,2500,30,31.551999999999996,13.450000000000001,0.08418636918317549
246,10,1000,2500,30,31.612000000000002,13.561,0.08466943289607148
247,30,300,2500,30,31.768,15.501000000000001,0.08054249297815776
248,30,500,2500,30,32.428000000000004,15.611,0.08239022253600438
249,30,1000,2500,30,32.328,15.73,0.08207599184884388
250,50,300,2500,30,29.183999999999997,16.597,0.08064548231311353
251,50,500,2500,30,31.892,16.605,0.08043151055296578
252,50,1000,2500,30,32.164,16.716,0.08183711030536008
253,10,300,2500,40,30.048,12.277000000000001,0.07327528219831611
254,10,500,2500,40,30.087999999999997,12.052,0.07285880724153972
255,10,1000,2500,40,30.232000000000003,12.097,0.07151388268184931
256,30,300,2500,40,30.008000000000003,14.094000000000001,0.07067212604862991
257,30,500,2500,40,31.06,14.056,0.06946079680863054
258,30,1000,2500,40,30.932,14.187,0.07188670903168509
259,50,300,2500,40,24.88,14.02,0.06730278259793601
260,50,500,2500,40,29.588000000000005,15.132000000000001,0.06942777830542575
261,50,1000,2500,40,30.819999999999997,14.91,0.07045569108173001
262,10,300,2500,50,29.192,11.598,0.06376221202570556
263,10,500,2500,50,29.276000000000003,11.494,0.0650841451115832
264,10,1000,2500,50,29.243999999999996,11.594999999999999,0.06291636465983895
265,30,300,2500,50,28.944000000000003,13.232,0.06119843826991454
266,30,500,2500,50,30.048,12.914,0.06233965301413683
267,30,1000,2500,50,29.872,13.320000000000002,0.0626579427583674
268,50,300,2500,50,22.508,12.79,0.06081207406845847
269,50,500,2500,50,28.608,14.286000000000001,0.061575014527149335
270,50,1000,2500,50,29.932,14.027000000000001,0.06261122750035061
271,10,300,5000,10,44.462,25.723499999999998,0.15143339400540393
272,10,500,5000,10,44.333999999999996,25.684,0.15397804312129001
273,10,1000,5000,10,44.45,26.021,0.1526891945243819
274,30,300,5000,10,45.153999999999996,29.605500000000003,0.15544287534313428
275,30,500,5000,10,45.74399999999999,29.4985,0.15723939189303862
276,30,1000,5000,10,45.786,29.369,0.1590379268098502
277,50,300,5000,10,43.902,30.038999999999998,0.15479918991326924
278,50,500,5000,10,45.29,29.916999999999998,0.15619167728644553
279,50,1000,5000,10,45.414,29.837999999999997,0.15592249098097008
280,10,300,5000,20,34.18,14.652499999999998,0.10109208971762627
281,10,500,5000,20,34.29600000000001,14.6885,0.10417254257101732
282,10,1000,5000,20,34.39,14.9995,0.10461722646159805
283,30,300,5000,20,34.828,17.191499999999998,0.10120025407559077
284,30,500,5000,20,35.182,17.189,0.10091373164663035
285,30,1000,5000,20,35.096,16.986,0.1033879632823543
286,50,300,5000,20,32.262,17.979499999999998,0.09924390175790616
287,50,500,5000,20,34.64,18.1085,0.10128523227112078
288,50,1000,5000,20,34.762,17.8845,0.10290056459493797
289,10,300,5000,30,31.144,11.963,0.08300874620166102
290,10,500,5000,30,31.385999999999996,12.0815,0.0838395046690436
291,10,1000,5000,30,31.263999999999996,12.122,0.08318821969132717
292,30,300,5000,30,31.131999999999998,14.029,0.0797193184426391
293,30,500,5000,30,31.833999999999996,13.68,0.08107706029776328
294,30,1000,5000,30,31.732,13.6985,0.0803772144683396
295,50,300,5000,30,26.666,13.9095,0.07799734364042502
296,50,500,5000,30,31.226,14.582,0.07965333683155869
297,50,1000,5000,30,31.574,14.4465,0.07939715735939948
298,10,300,5000,40,29.382,10.780000000000001,0.06976555564051284
299,10,500,5000,40,29.572,10.9165,0.07242970292854299
300,10,1000,5000,40,29.376,10.8645,0.07095511816686614
301,30,300,5000,40,28.944000000000003,12.325,0.06848964803512832
302,30,500,5000,40,29.924,12.184500000000002,0.06897987259558384
303,30,1000,5000,40,30.152,12.245,0.07003202567024978
304,50,300,5000,40,22.158,11.528,0.06751580310521813
305,50,500,5000,40,28.67,12.956499999999998,0.06820753116361038
306,50,1000,5000,40,29.725999999999996,12.828500000000002,0.06813434911320276
307,10,300,5000,50,28.518,10.130500000000001,0.06119104968190707
308,10,500,5000,50,28.842000000000002,10.173000000000002,0.06475432195155158
309,10,1000,5000,50,29.052,10.3465,0.06368223135248952
310,30,300,5000,50,11.266000000000002,4.5440000000000005,0.06969297250000472
311,30,500,5000,50,27.895999999999997,11.5015,0.06141542227005929
312,30,1000,5000,50,29.498,11.400999999999998,0.06176646554027209
