,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
107,50,300,100,50,8,75,36.6,57.99999999999999,0.08953640767095784
108,50,1000,100,50,8,75,37.8,62.2,0.09164700044893646
109,10,300,100,50,8,100,30.3,49.2,0.09192554559496238
110,10,1000,100,50,8,100,38.9,49.675000000000004,0.10249276684484318
111,50,300,100,50,8,100,31.5,60.050000000000004,0.09456963584161787
112,50,1000,100,50,8,100,36.0,60.5,0.08700424531150555
113,10,300,100,50,10,75,33.7,51.24999999999999,0.09068243697397826
114,10,1000,100,50,10,75,37.9,51.824999999999996,0.09837473473165621
115,50,300,100,50,10,75,35.0,55.225,0.09484523764723013
116,50,1000,100,50,10,75,37.1,61.025,0.0899963319653425
117,10,300,100,50,10,100,33.300000000000004,50.324999999999996,0.09749489365925279
118,10,1000,100,50,10,100,36.8,49.349999999999994,0.10081767987049588
119,50,300,100,50,10,100,32.5,56.45,0.08407442217760563
120,50,1000,100,50,10,100,33.4,62.474999999999994,0.0864442174385472
121,10,300,250,10,2,75,51.519999999999996,42.72,0.26540593869076146
122,10,1000,250,10,2,75,53.959999999999994,46.28,0.2758612110280061
123,50,300,250,10,2,75,52.800000000000004,51.07999999999999,0.22875913152716773
124,50,1000,250,10,2,75,52.56000000000001,52.88,0.23035669027627795
125,10,300,250,10,2,100,50.92,45.53,0.2644613558536866
126,10,1000,250,10,2,100,52.400000000000006,47.400000000000006,0.28233743386938914
127,50,300,250,10,2,100,48.88,51.07000000000001,0.21778572170782937
128,50,1000,250,10,2,100,50.92,52.18000000000001,0.23934194511668894
129,10,300,250,10,4,75,46.68,34.510000000000005,0.2818695980644742
130,10,1000,250,10,4,75,50.480000000000004,40.410000000000004,0.29947493781157003
131,50,300,250,10,4,75,48.96,47.53,0.24049427460424644
132,50,1000,250,10,4,75,51.04,47.510000000000005,0.26102650872227756
133,10,300,250,10,4,100,51.04,39.35,0.2724011385506179
134,10,1000,250,10,4,100,54.32,44.79,0.2885003116653665
135,50,300,250,10,4,100,50.35999999999999,49.57,0.23394127779699844
136,50,1000,250,10,4,100,51.47999999999999,49.919999999999995,0.2387732444484983
137,10,300,250,10,5,75,46.040000000000006,39.24999999999999,0.2494096461831974
138,10,1000,250,10,5,75,49.28,42.309999999999995,0.26011898018840857
139,50,300,250,10,5,75,46.040000000000006,46.650000000000006,0.2159418628888638
140,50,1000,250,10,5,75,47.28,47.53999999999999,0.2272935988744647
141,10,300,250,10,5,100,51.32,39.56,0.2837302978807277
142,10,1000,250,10,5,100,54.120000000000005,42.58,0.30579618046016205
143,50,300,250,10,5,100,51.760000000000005,49.76,0.2710671641891581
144,50,1000,250,10,5,100,53.52,49.870000000000005,0.2735247324285582
145,10,300,250,10,8,75,44.160000000000004,36.85,0.2627493471414063
146,10,1000,250,10,8,75,46.959999999999994,38.38,0.3002780527302747
147,50,300,250,10,8,75,44.64,42.809999999999995,0.22607044995997716
148,50,1000,250,10,8,75,46.760000000000005,46.989999999999995,0.24591425580950338
149,10,300,250,10,8,100,44.92,35.04,0.26865627282283394
150,10,1000,250,10,8,100,48.52,43.14,0.28720438458345077
151,50,300,250,10,8,100,44.64,45.55,0.21260215240291983
152,50,1000,250,10,8,100,47.32,46.88,0.24349511066859914
153,10,300,250,10,10,75,47.56,38.690000000000005,0.2758412279249115
154,10,1000,250,10,10,75,50.12,40.970000000000006,0.28495556166663555
155,50,300,250,10,10,75,44.279999999999994,45.08,0.23047535587520504
156,50,1000,250,10,10,75,47.76,46.47,0.24392089156279387
157,10,300,250,10,10,100,45.35999999999999,37.6,0.27240553122616584
158,10,1000,250,10,10,100,46.6,39.43,0.2996980772776271
159,50,300,250,10,10,100,47.44,45.72,0.22085292806802845
160,50,1000,250,10,10,100,48.480000000000004,45.78,0.2432605219216038
161,10,300,250,30,2,75,39.44,33.39,0.13985285764142436
162,10,1000,250,30,2,75,42.6,35.980000000000004,0.15464538953919318
163,50,300,250,30,2,75,38.4,38.65,0.12576951285110471
164,50,1000,250,30,2,75,41.120000000000005,40.21,0.13162408160779157
165,10,300,250,30,2,100,37.4,33.7,0.14728345291306935
166,10,1000,250,30,2,100,40.76,35.49,0.1437094511264314
167,50,300,250,30,2,100,37.76,38.42,0.11414256193849848
168,50,1000,250,30,2,100,39.839999999999996,41.11,0.13401816527356045
169,10,300,250,30,4,75,34.72,29.009999999999998,0.10362704023265373
170,10,1000,250,30,4,75,37.0,30.409999999999997,0.1501928153030359
171,50,300,250,30,4,75,33.879999999999995,36.18,0.1277177934703215
172,50,1000,250,30,4,75,34.96,37.95,0.13485161093606482
173,10,300,250,30,4,100,35.28,29.460000000000004,0.13524195719134433
174,10,1000,250,30,4,100,38.16,32.49,0.14009757361945774
175,50,300,250,30,4,100,35.32,35.78,0.12396707680017272
176,50,1000,250,30,4,100,34.92,38.66,0.12835969734218045
177,10,300,250,30,5,75,36.44,31.05,0.13940111323274876
178,10,1000,250,30,5,75,38.44,31.5,0.15451533961957906
179,50,300,250,30,5,75,34.160000000000004,37.6,0.12462161801590721
180,50,1000,250,30,5,75,36.6,38.18,0.13025072877047678
181,10,300,250,30,5,100,32.32000000000001,29.100000000000005,0.14414306523248632
182,10,1000,250,30,5,100,36.84,31.25,0.15945522724189026
183,50,300,250,30,5,100,34.48,35.019999999999996,0.1196679735261167
184,50,1000,250,30,5,100,34.32,37.59,0.1346641474655121
185,10,300,250,30,8,75,31.920000000000005,29.48,0.14123588409536617
186,10,1000,250,30,8,75,34.56,29.060000000000002,0.14971584979986108
187,50,300,250,30,8,75,32.56,34.29,0.09774123265194623
188,50,1000,250,30,8,75,29.520000000000003,37.59,0.12500674014424248
189,10,300,250,30,8,100,30.240000000000002,26.619999999999997,0.11409936732066903
190,10,1000,250,30,8,100,35.839999999999996,30.419999999999998,0.14531336035264056
191,50,300,250,30,8,100,33.599999999999994,35.29,0.12769737154448454
192,50,1000,250,30,8,100,33.92,37.38,0.13301290149688905
193,10,300,250,30,10,75,32.92,28.79,0.13921956971394367
194,10,1000,250,30,10,75,34.88,30.23,0.15022838652573103
195,50,300,250,30,10,75,29.720000000000002,33.86,0.12254032338377888
